district,num,votes ,votes DEM,votes NPA,votes REP,state,year,incumbent
District 1,1,16709,,55018,160016,Florida,2012,R
District 2,2,56646,,,183640,Florida,2012,R
District 3,3,12397,165634,,61956,Florida,2012,D
District 4,4,11150,87766,,144352,Florida,2012,
District 5,5,,,,incumbent uncontested,Florida,2012,
District 6,6,14095,98280,,139941,Florida,2012,
District 7,7,16395,90285,,123261,Florida,2012,
District 8,8,11817,87339,,115897,Florida,2012,
District 9,9,11830,126946,,72676,Florida,2012,
District 10,10,1862,93476,,117007,Florida,2012,
District 11,11,32469,,64863,163223,Florida,2012,
District 12,12,11753,111369,,49741,Florida,2012,
District 13,13,17341,94514,,117422,Florida,2012,
District 14,14,8574,113222,,48440,Florida,2012,
District 15,15,3951,80429,,113231,Florida,2012,
District 16,16,15706,84824,,143459,Florida,2012,
District 17,17,,,,uncontested,Florida,2012,
District 18,18,,,,uncontested,Florida,2012,
District 19,19,,incumbent uncontested,,,Florida,2012,
District 20,20,19426,93296,,127927,Florida,2012,
District 21,21,7951,79500,,107136,Florida,2012,
District 22,22,84373,,,157438,Florida,2012,
District 23,23,,,,incumbent uncontested,Florida,2012,
District 24,24,12591,89195,,104843,Florida,2012,
District 25,25,,124675,,93549,Florida,2012,
District 26,26,12200,85123,,122782,Florida,2012,
District 27,27,,127365,,,Florida,2012,
District 28,28,,,,incumbent uncontested,Florida,2012,
District 29,29,18734,124784,,69393,Florida,2012,
District 30,30,15817,74871,,123794,Florida,2012,
District 31,31,10684,147618,,27222,Florida,2012,
District 32,32,8898,89463,,136464,Florida,2012,
District 33,33,15645,130806,,62683,Florida,2012,
District 34,34,5228,122430,,109329,Florida,2012,
District 35,35,17599,103109,,63929,Florida,2012,
District 36,36,,incumbent uncontested,,,Florida,2012,
District 37,37,,,,incumbent uncontested,Florida,2012,
District 38,38,,,,incumbent uncontested,Florida,2012,
District 39,39,14245,102504,,42922,Florida,2012,
District 40,40,,,,incumbent uncontested,Florida,2012,
