district,votes DEM,votes LIB,votes REP,votes UNA,state,year,incumbent
1,18577,,23408,,North Carolina,2014,R
2,20207,,28853,,North Carolina,2014,R
3,23339,,,,North Carolina,2014,D
4,29344,,16065,,North Carolina,2014,D
5,21152,,,,North Carolina,2014,D
6,,,16666,,North Carolina,2014,R
7,9525,,22508,,North Carolina,2014,R
8,25864,,35695,,North Carolina,2014,R
9,28637,,35517,,North Carolina,2014,R
10,13928,,26355,,North Carolina,2014,R
11,,,35535,,North Carolina,2014,R
12,11585,,17251,,North Carolina,2014,R
13,16348,,10970,,North Carolina,2014,D
14,27252,,,,North Carolina,2014,D
15,26044,,29582,,North Carolina,2014,R
16,29244,,15659,,North Carolina,2014,D
17,20546,,32640,,North Carolina,2014,R
18,23258,,28750,,North Carolina,2014,R
19,19106,,22862,,North Carolina,2014,R
20,31826,,,,North Carolina,2014,D
21,30523,,,,North Carolina,2014,D
22,32940,,19134,,North Carolina,2014,D
23,25216,,14984,,North Carolina,2014,D
24,,,37454,,North Carolina,2014,R
25,20075,1137,22164,,North Carolina,2014,D
26,27788,,40291,,North Carolina,2014,R
27,,,46677,,North Carolina,2014,R
28,42953,,,,North Carolina,2014,D
29,13031,,34326,,North Carolina,2014,R
30,11142,,28726,,North Carolina,2014,R
31,24345,,44392,,North Carolina,2014,R
32,36045,,,,North Carolina,2014,D
33,,,35829,,North Carolina,2014,R
34,19398,,37708,,North Carolina,2014,R
35,,,39188,,North Carolina,2014,R
36,,,39730,,North Carolina,2014,R
37,30407,,,,North Carolina,2014,D
38,33912,,8506,,North Carolina,2014,D
39,,,41624,,North Carolina,2014,R
40,33435,,,,North Carolina,2014,D
41,22479,,33768,,North Carolina,2014,R
42,,,31138,21270,North Carolina,2014,R
43,,,21522,,North Carolina,2014,R
44,,,38551,,North Carolina,2014,R
45,11703,,21238,,North Carolina,2014,R
46,21363,,30373,,North Carolina,2014,R
47,,,38813,,North Carolina,2014,R
48,24720,,34384,,North Carolina,2014,R
49,32901,,22695,,North Carolina,2014,D
50,26034,,30667,,North Carolina,2014,R
