district,votes  ,votes democrat,votes libertarian,votes no party affiliation,votes republican,state,year
10,6366,79349,,,147601,Florida,2018
12,6938,91765,,,172776,Florida,2018
14,8178,96161,,,124055,Florida,2018
16,4843,102407,,,111997,Florida,2018
18,5236,,,,,Florida,2018
2,4581,48979,,,149157,Florida,2018
20,6077,87863,,,101021,Florida,2018
22,5190,94295,,,105575,Florida,2018
23,8832,110590,,,143351,Florida,2018
24,4042,98104,,,116415,Florida,2018
25,6180,98417,,,117056,Florida,2018
26,5821,63253,,,117979,Florida,2018
28,6860,73000,,,138293,Florida,2018
30,78869,132241,,,,Florida,2018
34,64726,124578,,,,Florida,2018
36,3701,56395,,,66361,Florida,2018
4,6231,80598,5514,,149347,Florida,2018
40,4660,90924,,,79068,Florida,2018
8,2641,98692,,4319,100690,Florida,2018
6,,incumbent uncontested,,,,Florida,2018
32,,incumbent uncontested,,,,Florida,2018
38,,incumbent uncontested,,,,Florida,2018
