district,votes constitution,votes democrat,votes libertarian,votes republican,state,year,incumbent
1,,35017,,39815,North Carolina,2018,R
2,,24644,1894,42898,North Carolina,2018,R
3,,33942,,29082,North Carolina,2018,D
4,,36459,1264,25382,North Carolina,2018,D
5,,36321,,29317,North Carolina,2018,D
6,,14615,,27228,North Carolina,2018,R
7,,25940,,30329,North Carolina,2018,R
8,,36191,2764,55024,North Carolina,2018,R
9,,42257,2671,42026,North Carolina,2018,D
10,,20050,,33360,North Carolina,2018,R
11,,35250,,45743,North Carolina,2018,R
12,,23290,,34931,North Carolina,2018,R
13,,18644,,31098,North Carolina,2018,R
14,,55035,2138,19951,North Carolina,2018,D
15,,60805,3005,19365,North Carolina,2018,D
16,,63335,3382,30308,North Carolina,2018,D
17,,50040,3016,45841,North Carolina,2018,D
18,,49155,2855,51794,North Carolina,2018,R
19,,29815,,29382,North Carolina,2018,D
20,,74205,2331,12309,North Carolina,2018,D
21,,33176,,13585,North Carolina,2018,D
22,,46153,1527,26989,North Carolina,2018,D
23,,73332,,29530,North Carolina,2018,D
24,,36255,,42324,North Carolina,2018,R
25,,31268,,41601,North Carolina,2018,R
26,,21168,,39029,North Carolina,2018,R
27,,45205,,44268,North Carolina,2018,D
28,,56262,,18509,North Carolina,2018,D
29,,18594,,46974,North Carolina,2018,R
30,,23558,2182,43132,North Carolina,2018,R
31,,34693,,54266,North Carolina,2018,R
32,,47216,,17572,North Carolina,2018,D
33,,22154,,47473,North Carolina,2018,R
34,,23716,,54635,North Carolina,2018,R
35,,31188,,49848,North Carolina,2018,R
36,,34416,,44938,North Carolina,2018,R
37,1301,52261,,13395,North Carolina,2018,D
38,,53563,,11972,North Carolina,2018,D
39,,44273,,49698,North Carolina,2018,R
40,,44773,,14426,North Carolina,2018,D
41,,49459,,37536,North Carolina,2018,D
42,,22522,,44323,North Carolina,2018,R
43,,22881,1900,42906,North Carolina,2018,R
44,,21204,,46861,North Carolina,2018,R
45,,26293,,48997,North Carolina,2018,R
46,,18218,,42445,North Carolina,2018,R
47,,26777,,44305,North Carolina,2018,R
48,,38147,,49073,North Carolina,2018,R
49,,61092,2290,32519,North Carolina,2018,D
50,,31851,,48387,North Carolina,2018,R
